0,0,0,1,0,0,0,0,0,left
0,0,0,0,0,0,0,0,0,left
0,0,0,0,-1,0,0,0,0,left
0,0,0,0,-1,-1,0,0,0,left
0,0,0,0,-1,-1,0,0,0,left
-12,0,0,-12,-1,-1,-12,0,0,up
-12,0,0,-12,-1,0,-12,-1,-1,up
-12,0,0,-12,-1,0,-12,-1,0,up
-12,0,0,-12,-1,0,-12,-1,0,right
0,0,0,-1,-1,0,-1,0,0,up
0,0,1,0,-1,0,-1,-1,0,up
-12,-12,-12,0,-1,1,0,-1,0,right
-12,-12,-12,-1,0,0,-1,0,0,right
-12,-12,-12,0,-1,0,0,0,0,right
-12,-12,-12,-1,-1,0,0,0,0,right
-12,-12,-12,-1,-1,0,0,0,1,right
-12,-12,-12,-1,-1,0,0,1,0,down
-1,-1,0,0,0,0,0,1,0,down
0,0,0,0,0,0,0,0,0,up
-1,-1,0,0,-1,0,0,0,0,right
